FBgn	ME_type	geneName
FBgn0000406	Inactive	Cyt-b5-r
FBgn0000409	Active	Cyt-c-p
FBgn0000411	PcG	D
FBgn0000412	Active	D1
FBgn0000413	Active	da
FBgn0000414	Active	Dab
FBgn0000416	Active	Sap-r
FBgn0000422	Inactive	Ddc
FBgn0000426	Active	SmF
FBgn0000427	PcG	dec-1
FBgn0000439	PcG	Dfd
FBgn0000442	PcG	Pkg21D
FBgn0000447	Active	Dhod
FBgn0000448	Inactive	Hr46
FBgn0000449	Inactive	dib
FBgn0000451	Inactive	ect
FBgn0000454	Active	Dip-B
FBgn0000455	Active	Dip-C
FBgn0000459	PcG	disco
FBgn0000463	PcG	Dl
FBgn0000464	Active	Lar
FBgn0000473	Inactive	Cyp6a2
FBgn0000477	Inactive	DNaseII
FBgn0000479	Active	dnc
FBgn0000482	Active	dor
FBgn0000489	Inactive	Pka-C3
FBgn0000490	PcG	dpp
FBgn0000492	PcG	Dr
FBgn0000497	PcG	ds
FBgn0000499	Active	dsh
FBgn0000504	PcG	dsx
FBgn0000520	Active	dwg
FBgn0000524	Active	dx
FBgn0000527	Inactive	e
FBgn0000533	Inactive	ea
FBgn0000535	Inactive	eag
FBgn0000536	Active	eas
FBgn0000541	Active	E(bx)
FBgn0000542	Inactive	ec
FBgn0000543	Active	ecd
FBgn0000546	Active	EcR
FBgn0000547	Inactive	ed
FBgn0000556	Active	Ef1alpha48D
FBgn0000557	Inactive	Ef1alpha100E
FBgn0000559	Active	EF2
FBgn0000562	Active	egl
FBgn0000565	Active	Eip71CD
FBgn0000566	Active	Eip55E
FBgn0000567	Active	Eip74EF
FBgn0000568	Active	Eip75B
FBgn0000575	Active	emc
FBgn0000576	PcG	ems
FBgn0000577	PcG	en
FBgn0000578	Active	ena
FBgn0000579	Active	Eno
FBgn0000581	PcG	E(Pc)
FBgn0000588	Active	esc
FBgn0000591	Active	E(spl)m8-HLH
FBgn0000592	Active	Est-6
FBgn0000606	PcG	eve
FBgn0000611	Active	exd
FBgn0000615	Active	exu
FBgn0000617	Active	e(y)1
FBgn0000618	Active	e(y)2
FBgn0000625	PcG	eyg
FBgn0000629	Active	E(z)
FBgn0000633	PcG	fas
FBgn0000635	PcG	Fas2
FBgn0000636	PcG	Fas3
FBgn0000639	PcG	Fbp1
FBgn0000640	Inactive	Fbp2
FBgn0000658	Inactive	fj
FBgn0000659	PcG	fkh
FBgn0000662	Active	fl(2)d
FBgn0000667	Active	Actn
FBgn0000709	Active	fliI
FBgn0000711	Active	flw
FBgn0000719	Active	fog
FBgn0000721	Active	for
FBgn0000723	Active	FER
FBgn0000808	Active	gd
FBgn0000810	Active	fs(1)K10
FBgn0000826	Active	png
FBgn0000927	Active	fs(1)Ya
FBgn0000928	Active	fs(1)Yb
FBgn0000964	PcG	tj
FBgn0000996	Active	dup
FBgn0001075	Inactive	ft
FBgn0001078	Active	ftz-f1
FBgn0001079	Active	fu
FBgn0001083	Active	fw
FBgn0001084	Active	fy
FBgn0001085	PcG	fz
FBgn0001086	Active	fzy
FBgn0001087	Active	g
FBgn0001089	Active	Gal
FBgn0001090	Active	bnb
FBgn0001091	Active	Gapdh1
FBgn0001092	Active	Gapdh2
FBgn0001098	Active	Gdh
FBgn0001099	Active	gdl
FBgn0001104	Active	Galphai
FBgn0001105	Active	Gbeta13F
FBgn0001108	Active	Gl
FBgn0001112	Inactive	Gld
FBgn0001114	Active	Glt
FBgn0001120	Inactive	gnu
FBgn0001122	Active	Galphao
FBgn0001123	Active	Galphas
FBgn0001124	Active	Got1
FBgn0001125	Active	Got2
FBgn0001128	Active	Gpdh
FBgn0001133	Active	grau
FBgn0001134	Inactive	Grd
FBgn0001137	Active	grk
FBgn0001138	PcG	grn
FBgn0001139	Active	gro
FBgn0001142	Active	Gs1
FBgn0001145	Active	Gs2
FBgn0001149	Active	GstD1
FBgn0001150	Active	gt
FBgn0001168	Active	h
FBgn0001169	Active	H
FBgn0001170	Inactive	H2.0
FBgn0001179	Active	hay
FBgn0001180	PcG	hb
FBgn0001185	Active	her
FBgn0001186	Active	Hex-A
FBgn0001187	Active	Hex-C
FBgn0001189	Active	hfw
FBgn0001197	Active	His2Av
FBgn0001202	Active	hk
FBgn0001206	Active	Hmr
FBgn0001208	Inactive	Hn
FBgn0001215	Active	Hrb98DE
FBgn0001216	Inactive	Hsc70-1
FBgn0001217	Inactive	Hsc70-2
FBgn0001218	Active	Hsc70-3
FBgn0001220	Active	Hsc70-5
FBgn0001222	Active	Hsf
FBgn0001224	Active	Hsp23
FBgn0001225	Active	Hsp26
FBgn0001226	Active	Hsp27
FBgn0001227	Active	Hsp67Ba
FBgn0001228	Active	Hsp67Bb
FBgn0001229	Inactive	Hsp67Bc
FBgn0001230	Active	Hsp68
FBgn0001233	Active	Hsp83
FBgn0001235	PcG	hth
FBgn0001247	Active	Ide
FBgn0001248	Active	Idh
FBgn0001250	Inactive	if
FBgn0001253	Inactive	ImpE1
FBgn0001255	Active	ImpE3
FBgn0001256	Inactive	ImpL1
FBgn0001257	Active	ImpL2
FBgn0001258	Inactive	ImpL3
FBgn0001259	Inactive	in
FBgn0001263	Inactive	inaD
FBgn0001269	PcG	inv
FBgn0001276	Active	ix
FBgn0001280	Active	janA
FBgn0001281	Active	janB
FBgn0001291	Active	Jra
FBgn0001296	Active	kar
FBgn0001297	Active	kay
FBgn0001301	Active	kel
FBgn0001308	Active	Khc
FBgn0001311	Inactive	kkv
FBgn0001319	Active	kn
FBgn0001320	PcG	kni
FBgn0001321	Inactive	knk
FBgn0001323	PcG	knrl
FBgn0001324	Active	kto
FBgn0001325	PcG	Kr
FBgn0001330	Active	kz
FBgn0001332	Active	L
FBgn0001341	Active	l(1)1Bi
FBgn0001404	Active	egh
FBgn0001491	Active	l(1)10Bb
FBgn0001565	Active	Hlc
FBgn0001612	Active	Grip91
FBgn0001941	Active	ifc
FBgn0001942	Active	eIF-4a
FBgn0001961	Active	Arpc1
FBgn0001965	Active	Sos
FBgn0001970	Active	Pgant35A
FBgn0001974	Active	l(2)35Bd
FBgn0001977	Active	CIAPIN1
FBgn0001978	Active	stc
FBgn0001981	PcG	esg
FBgn0001986	Active	l(2)35Df
FBgn0001987	Active	Gli
FBgn0001989	Active	l(2)35Di
FBgn0001990	Active	wek
FBgn0001991	Inactive	Ca-alpha1D
FBgn0001992	Active	Cyp303a1
FBgn0001994	Active	crp
FBgn0001995	Active	mRpL4
FBgn0002021	Active	l(2)37Bb
FBgn0002022	Active	Catsup
FBgn0002023	Inactive	Lim3
FBgn0002031	Active	l(2)37Cc
FBgn0002036	Active	CG10561
FBgn0002044	Active	swm
FBgn0002121	Active	l(2)gl
FBgn0002174	Active	l(2)tid
FBgn0002183	Active	dre4
FBgn0002283	Active	l(3)73Ah
FBgn0002284	Active	Prosbeta6
FBgn0002306	PcG	sas
FBgn0002354	Active	l(3)87Df
FBgn0002413	Active	dco
FBgn0002431	Active	hyd
FBgn0002441	Active	l(3)mbt
FBgn0002466	Active	sti
FBgn0002521	Active	pho
FBgn0002522	PcG	lab
FBgn0002524	Active	lace
FBgn0002525	Active	Lam
FBgn0002526	Active	LanA
FBgn0002531	Inactive	Lcp1
FBgn0002533	Inactive	Lcp2
FBgn0002534	Inactive	Lcp3
FBgn0002542	Active	lds
FBgn0002543	PcG	lea
FBgn0002552	Active	lin
FBgn0002561	Inactive	l(1)sc
FBgn0002562	Inactive	Lsp1alpha
FBgn0002563	PcG	Lsp1beta
FBgn0002564	Active	Lsp1gamma
FBgn0002565	Inactive	Lsp2
FBgn0002566	Active	lt
FBgn0002567	Inactive	ltd
FBgn0002569	Inactive	Mal-A2
FBgn0002571	Inactive	Mal-A3
FBgn0002576	PcG	lz
FBgn0002578	Active	Kaz-m1
FBgn0002579	Active	RpL36
FBgn0002590	Active	RpS5a
FBgn0002592	PcG	E(spl)m2-BFM
FBgn0002593	Active	RpLP1
FBgn0002607	Active	RpL19
FBgn0002609	Active	E(spl)m3-HLH
FBgn0002622	Active	RpS3
FBgn0002626	Active	RpL32
FBgn0002631	Active	E(spl)m5-HLH
FBgn0002632	PcG	E(spl)m6-BFM
FBgn0002633	Active	E(spl)m7-HLH
FBgn0002638	Active	Rcc1
FBgn0002641	Active	mal
FBgn0002643	Active	mam
FBgn0002645	Active	Map205
FBgn0002673	Active	twe
FBgn0002707	Active	mei-9
FBgn0002709	Active	mei-218
FBgn0002715	Active	mei-S332
FBgn0002716	Active	mei-W68
FBgn0002719	Active	Men
FBgn0002723	Active	Met
FBgn0002732	Active	E(spl)malpha-BFM
FBgn0002733	Active	E(spl)mbeta-HLH
FBgn0002735	Active	E(spl)mgamma-HLH
FBgn0002736	Active	mago
FBgn0002772	Inactive	Mlc1
FBgn0002773	Inactive	Mlc2
FBgn0002774	Active	mle
FBgn0002775	Active	msl-3
FBgn0002778	Active	mnd
FBgn0002780	Active	mod
FBgn0002783	Active	mor
FBgn0002787	Active	Rpn8
FBgn0002789	Inactive	Mp20
FBgn0002791	Active	mr
FBgn0002838	Active	ms(3)K81
FBgn0002842	Inactive	sa
FBgn0002855	Inactive	Acp26Aa
FBgn0002856	Inactive	Acp26Ab
FBgn0002862	Inactive	Mst87F
FBgn0002868	Active	MtnA
FBgn0002869	Inactive	MtnB
FBgn0002872	Active	mu2
FBgn0002873	Active	mud
FBgn0002878	Active	mus101
FBgn0002887	Active	mus201
FBgn0002891	Active	mus205
FBgn0002899	Active	mus301
FBgn0002901	Active	mus304
FBgn0002905	Active	mus308
FBgn0002906	Active	Blm
FBgn0002914	Active	Myb
FBgn0002917	Inactive	na
FBgn0002921	Active	Atpalpha
FBgn0002922	Inactive	nau
FBgn0002924	Active	ncd
FBgn0002926	Active	ndl
FBgn0002930	Inactive	nec
FBgn0002931	Active	net
FBgn0002932	Active	neur
FBgn0002938	PcG	ninaC
FBgn0002939	Inactive	ninaD
FBgn0002940	Inactive	ninaE
FBgn0002945	PcG	nkd
FBgn0002948	Active	nod
FBgn0002962	Active	nos
FBgn0002973	Active	numb
FBgn0002985	PcG	odd
FBgn0002989	Active	okr
FBgn0003002	PcG	opa
FBgn0003008	Active	or
FBgn0003009	Inactive	ord
FBgn0003011	Inactive	ort
FBgn0003015	Inactive	osk
FBgn0003016	PcG	osp
FBgn0003023	PcG	otu
FBgn0003028	Inactive	ovo
FBgn0003041	Active	pbl
FBgn0003042	Active	Pc
FBgn0003044	Active	Pcl
FBgn0003046	Active	Pcp
FBgn0003048	Active	pcx
FBgn0003053	PcG	peb
FBgn0003062	Active	Fib
FBgn0003065	Inactive	CG2150
FBgn0003068	Active	per
FBgn0003071	Active	Pfk
FBgn0003074	Active	Pgi
FBgn0003076	Active	Pgm
FBgn0003079	Active	phl
FBgn0003082	Active	phr
FBgn0003087	Active	pim
FBgn0003089	Inactive	pip
FBgn0003090	PcG	pk
FBgn0003091	Inactive	Pkc53E
FBgn0003093	Active	Pkc98E
FBgn0003114	Active	plu
FBgn0003116	Active	pn
FBgn0003117	Active	pnr
FBgn0003118	Active	pnt
FBgn0003124	Active	polo
FBgn0003129	PcG	Poxm
FBgn0003130	PcG	Poxn
FBgn0003132	Inactive	Pp1-13C
FBgn0003134	Active	Pp1alpha-96A
FBgn0003137	Active	Ppn
FBgn0003139	Active	PpV
FBgn0003141	Active	pr
FBgn0003149	PcG	Prm
FBgn0003159	Active	ptr
FBgn0003162	Inactive	Pu
FBgn0003165	Active	pum
FBgn0003169	Active	put
FBgn0003174	Inactive	pwn
FBgn0003175	Active	px
FBgn0003187	Inactive	qua
FBgn0003189	Active	r
FBgn0003204	Active	ras
FBgn0003205	Active	Ras85D
FBgn0003206	Active	Ras64B
FBgn0003209	Active	raw
FBgn0003210	Active	rb
FBgn0003218	Active	rdgB
FBgn0003227	Active	rec
FBgn0003231	Active	ref(2)P
FBgn0003248	Inactive	Rh2
FBgn0003250	Inactive	Rh4
FBgn0003254	PcG	rib
FBgn0003255	Inactive	rk
FBgn0003256	Active	rl
FBgn0003257	Active	r-l
FBgn0003261	Active	Rm62
FBgn0003267	Active	ro
FBgn0003268	Active	rod
FBgn0003274	Active	RpLP2
FBgn0003275	Active	RpII18
FBgn0003277	Active	RpII215
FBgn0003278	Active	RpI135
FBgn0003279	Active	RpL4
FBgn0003285	PcG	rst
FBgn0003292	PcG	rt
FBgn0003295	Inactive	ru
FBgn0003301	Active	rut
FBgn0003302	Active	rux
FBgn0003308	Inactive	ry
FBgn0003310	Active	S
FBgn0003312	Inactive	sad
FBgn0003317	Active	sax
FBgn0003321	Inactive	sbr
FBgn0003326	Inactive	sca
FBgn0003328	Active	scb
FBgn0003330	Active	Sce
FBgn0003334	Active	Scm
FBgn0003345	Active	sd
FBgn0003346	Active	RanGAP
FBgn0003353	Active	sei
FBgn0003360	Active	sesB
FBgn0003366	Inactive	sev
FBgn0003371	Active	sgg
FBgn0003380	Inactive	Sh
FBgn0003386	Inactive	Shaw
FBgn0003388	Inactive	shd
FBgn0003390	Active	shf
FBgn0003391	Active	shg
FBgn0003392	Active	shi
FBgn0003396	Active	shn
FBgn0003401	Active	shu
FBgn0003410	Active	sina
FBgn0003411	Active	sisA
FBgn0003415	Active	skd
FBgn0003416	Active	sl
FBgn0003423	Active	slgA
FBgn0003429	Inactive	slo
FBgn0003430	PcG	slp1
FBgn0003435	Inactive	sm
FBgn0003444	Active	smo
FBgn0003447	PcG	sn
FBgn0003449	Active	snf
FBgn0003450	PcG	snk
FBgn0003459	Active	stwl
FBgn0003460	PcG	so
FBgn0003462	Active	Sod
FBgn0003463	Inactive	sog
FBgn0003464	Active	sol
FBgn0003479	Active	spn-A
FBgn0003480	Active	spn-B
FBgn0003482	Active	spn-D
FBgn0003483	Active	spn-E
FBgn0003486	Inactive	spo
FBgn0003495	Active	spz
FBgn0003499	PcG	sr
FBgn0003502	Active	Btk29A
FBgn0003507	Active	srp
FBgn0003512	Active	Sry-delta
FBgn0003513	PcG	ss
FBgn0003514	Active	sqh
FBgn0003515	Inactive	st
FBgn0003517	Active	sta
FBgn0003520	Active	stau
FBgn0003525	Active	stg
FBgn0003527	Inactive	stil
FBgn0003545	Active	sub
FBgn0003557	Active	Su(dx)
FBgn0003559	Active	su(f)
FBgn0003567	Active	su(Hw)
FBgn0003575	Active	su(s)
FBgn0003598	Active	Su(var)3-7
FBgn0003607	Active	Su(var)205
FBgn0003612	Active	Su(var)2-10
FBgn0003638	Active	su(w[a])
FBgn0003651	PcG	svp
FBgn0003654	Active	sw
FBgn0003655	Active	swa
FBgn0003656	Active	sws
FBgn0003660	Active	Syb
FBgn0003676	Active	T-cp1
FBgn0003687	Active	Tbp
FBgn0003701	Active	thr
FBgn0003710	Inactive	tipE
FBgn0003714	Active	tko
FBgn0003716	Active	tkv
FBgn0003719	Inactive	tld
FBgn0003721	Active	Tm1
FBgn0003731	PcG	Egfr
FBgn0003732	Active	Top2
FBgn0003733	Inactive	tor
FBgn0003741	Active	tra
FBgn0003742	Active	tra2
FBgn0003744	Active	trc
FBgn0003747	Active	Gr5a
FBgn0003748	Active	Treh
FBgn0003751	Active	trk
FBgn0003862	Active	trx
FBgn0003865	Active	tsg
FBgn0003866	Active	tsh
FBgn0003867	PcG	tsl
FBgn0003870	Active	ttk
FBgn0003882	Active	tub
FBgn0003884	Active	alphaTub84B
FBgn0003885	Active	alphaTub84D
FBgn0003886	Inactive	alphaTub85E
FBgn0003887	Active	betaTub56D
FBgn0003888	Inactive	betaTub60D
FBgn0003889	Active	betaTub85D
FBgn0003890	Active	betaTub97EF
FBgn0003891	Active	tud
FBgn0003892	Active	ptc
FBgn0003941	Active	RpL40
FBgn0003942	Active	RpS27A
FBgn0003943	Active	Ubi-p63E
FBgn0003944	PcG	Ubx
FBgn0003950	Active	unc
FBgn0003961	Inactive	Uro
FBgn0003963	Active	ush
FBgn0003964	Active	usp
FBgn0003965	Inactive	v
FBgn0003969	Active	vap
FBgn0003975	PcG	vg
FBgn0003977	Active	vir
FBgn0003978	Active	vls
FBgn0003979	Active	Vm26Aa
FBgn0003980	Inactive	Vm26Ab
FBgn0003983	Active	Vm34Ca
FBgn0003984	PcG	vn
FBgn0003996	PcG	w
FBgn0003997	Active	hid
FBgn0004003	PcG	wbl
FBgn0004009	PcG	wg
FBgn0004028	Inactive	wupA
FBgn0004034	Active	y
FBgn0004045	Active	Yp1
FBgn0004047	Active	Yp3
FBgn0004049	Active	yrt
FBgn0004050	Active	z
FBgn0004052	Active	Z600
FBgn0004053	PcG	zen
FBgn0004055	Active	uzip
FBgn0004057	Active	Zw
FBgn0004066	Active	Prosalpha4
FBgn0004087	Active	Dhfr
FBgn0004101	Active	bs
FBgn0004102	PcG	oc
FBgn0004103	Active	Pp1-87B
FBgn0004106	Active	Cdk1
FBgn0004107	Active	Cdk2
FBgn0004108	Inactive	Nrt
FBgn0004110	PcG	tin
FBgn0004117	Active	Tm2
FBgn0004118	Inactive	nAChRbeta2
FBgn0004132	Active	boca
FBgn0004133	Active	blow
FBgn0004167	Active	kst
FBgn0004168	Inactive	5-HT1A
FBgn0004169	Active	up
FBgn0004170	Inactive	sc
FBgn0004174	Inactive	Mst84Dc
FBgn0004175	Inactive	Mst84Dd
FBgn0004177	Active	mts
FBgn0004179	Active	Csp
FBgn0004181	Inactive	Peb
FBgn0004197	Active	Ser
FBgn0004198	Active	ct
FBgn0004227	Active	nonA
FBgn0004228	Active	mex1
FBgn0004237	Active	Hrb87F
FBgn0004240	Active	Dpt
FBgn0004242	Inactive	Syt1
FBgn0004244	Inactive	Rdl
FBgn0004359	Active	T48
FBgn0004360	Inactive	Wnt2
FBgn0004362	Active	HmgD
FBgn0004363	Active	porin
FBgn0004367	Active	mei-41
FBgn0004368	Active	Ptp4E
FBgn0004369	Active	Ptp99A
FBgn0004370	Inactive	Ptp10D
FBgn0004372	Inactive	aly
FBgn0004373	Active	fwd
FBgn0004374	Active	neb
FBgn0004378	Active	Klp61F
FBgn0004379	Active	Klp67A
FBgn0004380	Inactive	Klp64D
FBgn0004381	Active	Klp68D
FBgn0004387	Active	Klp98A
FBgn0004390	Active	RasGAP1
FBgn0004391	Active	shtd
FBgn0004395	Active	unk
FBgn0004396	Active	CrebA
FBgn0004397	Active	Vinc
FBgn0004400	Active	rhi
FBgn0004401	Active	Pep
FBgn0004403	Active	RpS14a
FBgn0004404	Active	RpS14b
FBgn0004406	Active	tam
FBgn0004419	Active	me31B
FBgn0004431	Active	LysX
FBgn0004432	Active	Cyp1
FBgn0004435	Active	Galphaq
FBgn0004436	Active	Ubc6
FBgn0004449	Inactive	Ten-m
FBgn0004456	Active	mew
FBgn0004462	Active	Pk17E
FBgn0004463	Active	RpIII128
FBgn0004465	Active	Su(P)
FBgn0004507	Active	GlyP
FBgn0004509	Inactive	Fur1
FBgn0004510	Active	Ets97D
FBgn0004511	Inactive	dy
FBgn0004512	Inactive	Mdr49
FBgn0004513	Inactive	Mdr65
FBgn0004514	Inactive	Oct-TyrR
FBgn0004552	Active	Akh
FBgn0004554	Inactive	Edg91
FBgn0004556	Active	Dbp73D
FBgn0004567	PcG	slp2
FBgn0004569	Inactive	aos
FBgn0004573	PcG	5-HT7
FBgn0004574	Active	Rop
FBgn0004575	PcG	Syn
FBgn0004577	PcG	Pxd
FBgn0004580	Inactive	Cbp53E
FBgn0004581	Inactive	bgcn
FBgn0004583	Active	ex
FBgn0004584	Active	Rrp1
FBgn0004587	Active	B52
FBgn0004595	PcG	pros
FBgn0004597	Active	CycC
FBgn0004598	Active	Fur2
FBgn0004606	Active	zfh1
FBgn0004607	Inactive	zfh2
FBgn0004611	Active	Plc21C
FBgn0004618	PcG	gl
FBgn0004620	Inactive	GluRIIA
FBgn0004622	Inactive	TkR99D
FBgn0004635	Active	rho
FBgn0004636	Active	R
FBgn0004638	Active	drk
FBgn0004643	Active	Zw10
FBgn0004644	PcG	hh
FBgn0004646	Inactive	ogre
FBgn0004647	Inactive	N
FBgn0004648	Active	svr
FBgn0004649	Inactive	yl
FBgn0004650	Inactive	fs(1)N
FBgn0004652	Active	fru
FBgn0004654	Active	Pgd
FBgn0004655	Active	wapl
FBgn0004656	Active	fs(1)h
FBgn0004657	Active	mys
FBgn0004666	PcG	sim
FBgn0004687	Active	Mlc-c
FBgn0004698	Active	mus210
FBgn0004777	PcG	Ccp84Ag
FBgn0004795	PcG	retn
FBgn0004797	Active	mdy
FBgn0004811	Active	fs(2)ltoPP43
FBgn0004828	Active	His3.3B
FBgn0004832	Active	Xpac
FBgn0004837	Active	Su(H)
FBgn0004838	Active	Hrb27C
FBgn0004839	PcG	otk
FBgn0004841	Inactive	TkR86C
FBgn0004852	Inactive	Ac76E
FBgn0004855	Active	RpII15
FBgn0004856	Active	Bx42
FBgn0004858	PcG	elB
FBgn0004859	Inactive	ci
FBgn0004860	Active	ph-d
FBgn0004861	Active	ph-p
FBgn0004864	Active	hop
FBgn0004865	Inactive	Eip78C
FBgn0004867	Active	RpS2
FBgn0004868	Active	Gdi
FBgn0004870	PcG	bab1
FBgn0004872	Active	piwi
FBgn0004875	Active	enc
FBgn0004876	Active	cdi
FBgn0004878	Inactive	cas
FBgn0004882	Inactive	orb
FBgn0004885	Inactive	tok
FBgn0004888	Active	Scsalpha
FBgn0004889	Active	tws
FBgn0004892	PcG	sob
FBgn0004893	Active	bowl
FBgn0004895	PcG	fd64A
FBgn0004897	PcG	fd96Ca
FBgn0004901	Active	Prat
FBgn0004903	Active	Rb97D
FBgn0004907	Active	14-3-3zeta
FBgn0004908	Active	Arl2
FBgn0004910	Inactive	Eip63F-1
FBgn0004911	Inactive	Eip63F-2
FBgn0004913	Active	Gnf1
FBgn0004914	Active	Hnf4
FBgn0004915	Active	TfIIB
FBgn0004919	Inactive	gol
FBgn0004921	Active	Ggamma1
FBgn0004924	Active	Top1
FBgn0004926	Active	eIF-2beta
FBgn0004956	PcG	os
FBgn0004957	Active	por
FBgn0004959	Inactive	phm
FBgn0005198	Active	gig
FBgn0005278	Active	Sam-S
FBgn0005322	Active	nmd
FBgn0005355	Active	Su(fu)
FBgn0005386	Active	ash1
FBgn0005390	Inactive	fs(1)M3
FBgn0005391	Active	Yp2
FBgn0005411	Active	U2af50
FBgn0005427	Active	ewg
FBgn0005533	Active	RpS17
FBgn0005536	Active	Mbs
FBgn0005561	PcG	sv
FBgn0005564	Inactive	Shal
FBgn0005585	Active	Crc
FBgn0005586	Inactive	Rab3
FBgn0005592	Inactive	btl
FBgn0005593	Active	RpL7
FBgn0005596	Active	yem
FBgn0005612	Active	Sox14
FBgn0005613	PcG	Sox15
FBgn0005614	Inactive	trpl
FBgn0005616	Active	msl-2
FBgn0005617	Active	msl-1
FBgn0005619	Inactive	Hdc
FBgn0005624	Active	Psc
FBgn0005626	Inactive	ple
FBgn0005630	Active	lola
FBgn0005631	Active	robo
FBgn0005632	Active	faf
FBgn0005636	PcG	nvy
FBgn0005638	PcG	slbo
FBgn0005640	Active	Eip63E
FBgn0005642	Active	wdn
FBgn0005648	Active	Pabp2
FBgn0005649	Active	Rox8
FBgn0005655	Active	PCNA
FBgn0005659	Inactive	Ets98B
FBgn0005660	Inactive	Ets21C
FBgn0005670	Active	Cyp4d1
FBgn0005671	Active	Vha55
FBgn0005672	Active	spi
FBgn0005677	PcG	dac
FBgn0005683	Active	pie
FBgn0005694	Active	Aef1
FBgn0005695	Active	gcl
FBgn0005696	Active	DNApol-alpha73
FBgn0005771	PcG	noc
FBgn0005775	Inactive	Con
FBgn0005777	Active	PpD3
FBgn0008635	Active	betaCOP
FBgn0008646	PcG	E5
FBgn0010014	Active	CanB
FBgn0010015	PcG	CanA1
FBgn0010019	Active	Cyp4g1
FBgn0010038	Active	GstD2
FBgn0010039	Active	GstD3
FBgn0010040	Active	GstD4
FBgn0010041	Active	GstD5
FBgn0010042	Active	GstD6
FBgn0010043	Active	GstD7
FBgn0010051	Active	Itp-r83A
FBgn0010052	Inactive	Jhe
FBgn0010053	Active	Jheh1
FBgn0010078	Active	RpL23
FBgn0010097	Inactive	gammaTub37C
FBgn0010100	Active	Acon
FBgn0010105	PcG	comm
FBgn0010109	Inactive	dpn
FBgn0010113	Active	hdc
FBgn0010114	Inactive	hig
FBgn0010173	Active	RpA-70
